排名,电影名称,导演,上映年份,制作国家,类型,评分,评价人数
226,萤火虫之墓,导演: 高畑勋 Isao Takahata,1988,日本,动画 剧情 战争,8.7,411429
227,彗星来的那一夜,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit,2013,美国 英国,科幻 悬疑 惊悚,8.6,601042
228,奇迹男孩,导演: 斯蒂芬·卓博斯基 Stephen Chbosky,2017,美国 中国香港,剧情 儿童 家庭,8.6,561828
229,哈利·波特与死亡圣器(上),导演: 大卫·叶茨 David Yates,2010,英国 美国,奇幻 冒险,8.5,598185
230,黑客帝国2：重装上阵,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,美国,动作 科幻,8.7,416024
231,二十二,导演: 郭柯 Ke Guo,2015,中国大陆,纪录片,8.7,296899
232,血钻,导演: 爱德华·兹威克 Edward Zwick,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,389322
233,战争之王,导演: 安德鲁·尼科尔 Andrew Niccol,2005,美国 德国,剧情 犯罪,8.7,378194
234,火星救援,导演: 雷德利·斯科特 Ridley Scott,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,8.5,751325
235,步履不停,导演: 是枝裕和 Hirokazu Koreeda,2008,日本,剧情 家庭,8.8,287328
236,房间,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,374713
237,魂断蓝桥,导演: 茂文·勒鲁瓦 Mervyn LeRoy,1940,美国,剧情 爱情 战争,8.8,285515
238,白日梦想家,导演: 本·斯蒂勒 Ben Stiller,2013,美国 英国,剧情 喜剧 冒险,8.6,512851
239,千年女优,导演: 今敏 Satoshi Kon,2001,日本,动画 剧情 爱情,8.8,278430
240,谍影重重2,导演: 保罗·格林格拉斯 Paul Greengrass,2004,美国 德国,动作 悬疑 惊悚,8.7,362285
241,高山下的花环,导演: 谢晋 Jin Xie,1984(中国大陆) , 1985,中国大陆,9.5,97967
242,哈利·波特与凤凰社,导演: 大卫·叶茨 David Yates,2007,英国 美国,奇幻 冒险,8.5,593068
243,蜘蛛侠：平行宇宙,导演: 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,2018,美国,动作 科幻 动画 冒险,8.6,686749
244,弱点,导演: 约翰·李·汉考克 John Lee Hancock,2009,美国,剧情 家庭 传记 运动,8.7,319680
245,谍影重重,导演: 道格·里曼 Doug Liman,2002,美国 德国 捷克,动作 悬疑 惊悚,8.6,439644
246,阿飞正传,导演: 王家卫 Kar Wai Wong,1990,中国香港,犯罪 剧情 爱情,8.5,524020
247,大红灯笼高高挂,导演: 张艺谋 Yimou Zhang,1991,中国大陆 中国香港 中国台湾,剧情,8.8,290627
248,朗读者,导演: 史蒂芬·戴德利 Stephen Daldry,2008,美国 德国,剧情 爱情,8.6,461101
249,再次出发之纽约遇见你,导演: 约翰·卡尼 John Carney,2013,美国,喜剧 爱情 音乐,8.6,436913
250,燃情岁月,导演: 爱德华·兹威克 Edward Zwick,1994,美国,剧情 爱情 战争 西部,8.7,293521
