title,author,price
 Excel最强教科书（完全版）教学视频+全彩印刷+案例文件 电子表格制作教书籍 零基础从入门到精通 函数高级会计数据透视 问世两年印刷21次！销量突破27万册！“后悔没有早点知道”的办公秘笈一应俱全，堪称不变的经典，永远的传奇！5小时的工作10秒内即可搞定！,,¥34.90
 白话深度学习的数学 热销IT技术书《白话机器学习的数学》续作！对话形式轻松理解，一本书掌深度学习的基础数学！有趣、易懂、不枯燥的深度学习入门书。Python代码均可下载。,,¥34.90
 word excel ppt从入门到精通 23年新版电脑办公软件学习wps office表格制作教程书计算机函数公式应用 团购电话:4001066666转6，全彩升级版，让你从新手到高手从入门到精通 word文档制作 excel公式与函数高效办公 ppt幻灯片极具说服力 手机扫码随时看教程,,¥24.90
 大规模语言模型：从理论到实践 大模型|复旦NLP团队|详解构建LLM的主要阶段：预训练、有监督微调、奖励建模、强化学习|张奇桂韬郑锐黄萱菁|配全书PPT课件,,¥81.70
 人工智能：现代方法（第4版）（上下册） 系统性总结人工智能的方方面面，国际人工智能领域专家斯图尔特·罗素撰写人工智能百科书，时隔十年重磅更新，被全球全球1500多所学校采用的经典教材,,¥99.00
 Simulink仿真及代码生成技术入门到精通（第2版） 经典长销书的进一步优化和升级，基于MATLAB R2021b，图文并茂，Stateflow、MBD等应有尽有，MathWorks公司推荐用书。,,¥81.70
 小学生C++趣味编程 全国青少年信息学奥林匹克普及组竞赛教材一本真正适合小学生的信息学竞赛培训教材，赠配套教学资源，素材下载地址为：https://pan.baidu.com/s/1i7mvF6H,,¥41.60
 C Primer Plus 第6版 中文版 C语言入门经典教程 C语言入门经典教程，畅销30余年的C语言编程入门书籍，近百万程序员的C语言编程启蒙教材，技术大牛案头常备的工具书，被誉为C语言百科全书，购书赠送价值99元的e读版电子书+在线编程环境,,¥54.00
 LangChain入门指南：构建高可复用、可扩展的LLM应用程序 ,,¥74.20
 左耳听风：传奇程序员练级攻略 ,,¥66.00
 深度学习 人工智能算法，机器学习奠基之作，AI圣经 AI圣经 deep learning中文版 2018年图灵奖获奖者作品 业内人称“花书” 人工智能机器学习深度学习领域奠基性经典畅销书,,¥84.00
 TVM编译器原理与实践 吴建明 吴一昊 一本书读懂TVM编译器,,¥89.20
 SQL必知必会 第5版 SQL从入门到精通基础教程，深入浅出sql数据库原理与应用教程，2020升级，案例更新，增加章后挑战题，中文版累计销量15万+，麻省理工学院等众多大学的参考教材,,¥32.90
 内网渗透实战攻略 刘隽良 美创科技资深安全专家领衔撰写，9个靶场模拟实战，覆盖20余种渗透测试工具、60多种攻防手段,,¥74.20
 零基础学Python（Python3.10全彩版）编程入门 项目实践 同步视频 Python3.10全新升级！超20万读者认可的彩色书，从基本概念到完整项目开发，助您快速掌握Python编程。全程视频+完整源码+215道课后题+实物挂图+海量资源,,¥23.10
 互联网大厂推荐算法实战 快手公司算法专家10余年的实战经验总结。涵盖一线互联网公司当前采用的主流推荐算法，凸显可用性、实用性 提供从算法基本原理，到技术框架再到核心源码的解决方案,,¥67.30
 中小学C++编程项目学习创意课堂（微课版） 青少年编程零基础入门，一线信息技术老师通过50多个项目案例教孩子入门、掌握C++语言编程的方法与技巧。随书配有案例素材、源文件、答案、PPT课件、微课视频等立体化资源，获取地址见书前言二维码。,,¥39.90
 控制之美（卷2）——最优化控制MPC与卡尔曼滤波器 ,,¥59.70
 深度学习入门 基于Python的理论与实现 人工智能入门学习教程 日本深度学习入门书籍 基于python 3 从零创建一个深度学习模型,,¥34.90
 SolidWorks 2022完全实战技术手册 超值赠送： 92个视频文件，长达19小时 大量相关素材文件，容量高达13GB,,¥74.80
 强化学习算法入门实战 机器学习中的分类和回归人工智能丛书 python深度学习机器学习大模型 强化学习的数学原理教程 自 从“平均值计算”开始的强化学习算法入门书,,¥34.90
 数据质量管理十步法：获取高质量数据和可信信息（原书第2版） [美]达内特·麦吉利夫雷 数据管理领域书籍的经典之作全新改版精装,,¥149.20
 AI时代Python量化交易实战：ChatGPT让量化交易插上翅膀 关东升 韩文锋 金融量化交易新模式：一本专注于帮助交易师在AI时代实现晋级、提高效率的图书。书中介绍了如何使用 ChatGPT 来完成量化交易的各个环节，并通过实战案例展示了ChatGPT在实际量化交易中的应用方法。,,¥59.20
